<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.28	1.33217	1.34317	1.33217	1.34179	133689	0	0
2022.03.01	1.34170	1.34375	1.33021	1.33239	110638	0	0
2022.03.02	1.33224	1.34064	1.32712	1.34046	125789	0	0
2022.03.03	1.34032	1.34178	1.33174	1.33468	107707	0	0
2022.03.04	1.33420	1.33534	1.32022	1.32331	126486	0	0
2022.03.07	1.32129	1.32516	1.31019	1.31033	163249	0	0
2022.03.08	1.31035	1.31444	1.30816	1.30997	166083	0	0
2022.03.09	1.30999	1.31900	1.30878	1.31795	116667	0	0
2022.03.10	1.31794	1.31945	1.30808	1.30851	116139	0	0
2022.03.11	1.30835	1.31250	1.30274	1.30363	116078	0	0
2022.03.14	1.30330	1.30788	1.30003	1.30039	104820	0	0
2022.03.15	1.30024	1.30887	1.30001	1.30370	111174	0	0
2022.03.16	1.30360	1.31566	1.30352	1.31456	123973	0	0
2022.03.17	1.31425	1.32109	1.30878	1.31491	100041	0	0
2022.03.18	1.31484	1.31972	1.31104	1.31762	91194	0	0
2022.03.21	1.31690	1.32101	1.31269	1.31642	71170	0	0
2022.03.22	1.31631	1.32740	1.31200	1.32601	107225	0	0
2022.03.23	1.32577	1.32986	1.31753	1.32023	88314	0	0
2022.03.24	1.32018	1.32141	1.31570	1.31825	107021	0	0
2022.03.25	1.31803	1.32249	1.31592	1.31837	106448	0	0
2022.03.28	1.31706	1.31839	1.30668	1.30896	113866	0	0
2022.03.29	1.30890	1.31600	1.30512	1.30916	130728	0	0
2022.03.30	1.30871	1.31828	1.30823	1.31328	108888	0	0
2022.03.31	1.31313	1.31756	1.31055	1.31354	109298	0	0
2022.04.01	1.31325	1.31506	1.30863	1.31108	94819	0	0
2022.04.04	1.30829	1.31369	1.30829	1.31139	80440	0	0
2022.04.05	1.31120	1.31666	1.30668	1.30724	87316	0	0
2022.04.06	1.30723	1.31080	1.30452	1.30672	109959	0	0
2022.04.07	1.30682	1.31065	1.30516	1.30744	93127	0	0
2022.04.08	1.30745	1.30851	1.29821	1.30330	84731	0	0
2022.04.11	1.30231	1.30565	1.29892	1.30292	95624	0	0
2022.04.12	1.30277	1.30538	1.29938	1.29995	101778	0	0
2022.04.13	1.29992	1.31169	1.29729	1.31163	91258	0	0
2022.04.14	1.31151	1.31474	1.30332	1.30753	95840	0	0
2022.04.15	1.30716	1.30766	1.30461	1.30606	107575	0	1
2022.04.18	1.30445	1.30635	1.30049	1.30133	67584	0	0
2022.04.19	1.30071	1.30408	1.29806	1.29969	86573	0	0
2022.04.20	1.29941	1.30709	1.29876	1.30666	94025	0	0
2022.04.21	1.30668	1.30903	1.30225	1.30292	98250	0	0
2022.04.22	1.30277	1.30349	1.28231	1.28379	103290	0	0
2022.04.25	1.28332	1.28428	1.26975	1.27393	131254	0	0
2022.04.26	1.27372	1.27724	1.25707	1.25733	108405	0	0
2022.04.27	1.25715	1.26020	1.25027	1.25441	114775	0	0
2022.04.28	1.25396	1.25702	1.24113	1.24574	127454	0	0
2022.04.29	1.24559	1.26147	1.24381	1.25765	106735	0	0
2022.05.02	1.25774	1.25968	1.24730	1.24898	99848	0	0
2022.05.03	1.24896	1.25675	1.24703	1.24978	94693	0	0
2022.05.04	1.24979	1.26380	1.24510	1.26345	110968	0	0
2022.05.05	1.26260	1.26345	1.23251	1.23617	132758	0	0
2022.05.06	1.23616	1.23801	1.22757	1.23352	154425	0	0
2022.05.09	1.23475	1.24062	1.22607	1.23288	132787	0	0
2022.05.10	1.23290	1.23760	1.22913	1.23145	141136	0	0
2022.05.11	1.23120	1.24002	1.22374	1.22427	141912	0	0
2022.05.12	1.22463	1.22515	1.21648	1.21961	162435	0	0
2022.05.13	1.21963	1.22598	1.21553	1.22586	112425	0	0
2022.05.16	1.22372	1.23297	1.22172	1.23178	111594	0	0
2022.05.17	1.23177	1.24987	1.23121	1.24878	126599	0	0
2022.05.18	1.24878	1.25007	1.23298	1.23384	105327	0	0
2022.05.19	1.23384	1.25249	1.23268	1.24583	146298	0	0
2022.05.20	1.24594	1.25002	1.24371	1.24907	125251	0	0
2022.05.23	1.24656	1.26009	1.24629	1.25783	108339	0	0
2022.05.24	1.25784	1.25990	1.24712	1.25290	117552	0	0
2022.05.25	1.25283	1.25906	1.24811	1.25722	127675	0	0
2022.05.26	1.25721	1.26210	1.25515	1.26022	112352	0	0
2022.05.27	1.26022	1.26669	1.25702	1.26289	98824	0	0
2022.05.30	1.26081	1.26596	1.26081	1.26502	84370	0	0
2022.05.31	1.26472	1.26531	1.25603	1.26012	118149	0	0
2022.06.01	1.25976	1.26163	1.24586	1.24850	94720	0	0
2022.06.02	1.24835	1.25865	1.24688	1.25762	77914	0	0
2022.06.03	1.25724	1.25894	1.24848	1.24854	70552	0	0
2022.06.06	1.24869	1.25772	1.24755	1.25294	66404	0	0
2022.06.07	1.25307	1.25996	1.24301	1.25902	98676	0	0
2022.06.08	1.25877	1.25974	1.25132	1.25336	90364	0	0
2022.06.09	1.25311	1.25586	1.24872	1.24912	111551	0	0
2022.06.10	1.24879	1.25178	1.23012	1.23103	113100	0	0
2022.06.13	1.23144	1.23195	1.21063	1.21328	155815	0	0
2022.06.14	1.21282	1.22079	1.19335	1.19960	170315	0	0
2022.06.15	1.19950	1.22047	1.19873	1.21785	191045	0	0
2022.06.16	1.21783	1.24061	1.20411	1.23491	181346	0	0
2022.06.17	1.23470	1.23666	1.21723	1.22173	155349	0	0
2022.06.20	1.22096	1.22803	1.21985	1.22508	96794	0	0
2022.06.21	1.22480	1.23241	1.22344	1.22788	105937	0	0
2022.06.22	1.22776	1.23147	1.21612	1.22619	130128	0	0
2022.06.23	1.22582	1.22948	1.21697	1.22612	137208	0	0
2022.06.24	1.22595	1.23212	1.22401	1.22714	110987	0	0
2022.06.27	1.22494	1.23324	1.22379	1.22652	109196	0	0
2022.06.28	1.22643	1.22914	1.21808	1.21817	126044	0	0
2022.06.29	1.21810	1.22126	1.21058	1.21205	144771	0	0
2022.06.30	1.21197	1.21884	1.20919	1.21778	130724	0	0
2022.07.01	1.21725	1.21774	1.19758	1.20932	133604	0	0
2022.07.04	1.20970	1.21652	1.20839	1.21040	87625	0	0
2022.07.05	1.21064	1.21254	1.18986	1.19561	136436	0	0
2022.07.06	1.19541	1.19896	1.18757	1.19226	159522	0	0
2022.07.07	1.19192	1.20297	1.19082	1.20208	124463	0	0
2022.07.08	1.20194	1.20561	1.19192	1.20333	133389	0	0
2022.07.11	1.19989	1.20363	1.18665	1.18912	117130	0	0
2022.07.12	1.18906	1.19160	1.18075	1.18861	144224	0	0
2022.07.13	1.18832	1.19675	1.18272	1.18892	149482	0	0
2022.07.14	1.18863	1.18919	1.17600	1.18239	165080	0	0
2022.07.15	1.18210	1.18747	1.18042	1.18632	133687	0	0
2022.07.18	1.18656	1.20334	1.18612	1.19513	117970	0	0
2022.07.19	1.19489	1.20456	1.19243	1.19929	127488	0	0
