<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	1.35256	1.35336	1.34308	1.34786	43098	0	0
2022.01.04	1.34763	1.35575	1.34597	1.35281	47410	0	0
2022.01.05	1.35254	1.35985	1.35197	1.35539	53442	0	0
2022.01.06	1.35521	1.35587	1.34902	1.35313	57135	0	0
2022.01.07	1.35309	1.35971	1.35251	1.35903	48614	0	0
2022.01.10	1.35664	1.36036	1.35321	1.35761	52787	0	0
2022.01.11	1.35746	1.36358	1.35609	1.36340	53876	0	0
2022.01.12	1.36330	1.37142	1.36206	1.37004	50043	0	0
2022.01.13	1.37003	1.37489	1.36984	1.37051	51844	0	0
2022.01.14	1.37046	1.37432	1.36533	1.36793	60036	0	0
2022.01.17	1.36646	1.36899	1.36373	1.36447	51587	0	0
2022.01.18	1.36437	1.36616	1.35725	1.35939	82325	0	0
2022.01.19	1.35934	1.36488	1.35878	1.36113	72429	0	0
2022.01.20	1.36103	1.36616	1.35871	1.35981	71159	0	0
2022.01.21	1.35981	1.36019	1.35457	1.35511	82492	0	0
2022.01.24	1.35446	1.35652	1.34399	1.34870	87791	0	0
2022.01.25	1.34865	1.35188	1.34360	1.35024	100174	0	0
2022.01.26	1.34991	1.35248	1.34440	1.34622	103684	0	0
2022.01.27	1.34623	1.34677	1.33577	1.33817	123264	0	0
2022.01.28	1.33800	1.34330	1.33650	1.33941	114947	0	0
2022.01.31	1.33906	1.34607	1.33860	1.34457	93435	0	0
2022.02.01	1.34437	1.35280	1.34339	1.35220	94612	0	0
2022.02.02	1.35195	1.35868	1.35137	1.35763	85894	0	0
2022.02.03	1.35734	1.36281	1.35378	1.35963	111490	0	0
2022.02.04	1.35943	1.36153	1.35050	1.35275	98214	0	0
2022.02.07	1.35336	1.35509	1.34906	1.35354	79501	0	0
2022.02.08	1.35355	1.35638	1.35074	1.35435	70388	0	0
2022.02.09	1.35434	1.35892	1.35266	1.35329	65377	0	0
2022.02.10	1.35323	1.36435	1.35232	1.35572	107047	0	0
2022.02.11	1.35569	1.36095	1.35141	1.35601	125374	0	0
2022.02.14	1.35435	1.35718	1.34948	1.35302	113220	0	0
2022.02.15	1.35274	1.35666	1.34865	1.35369	93173	0	0
2022.02.16	1.35368	1.36009	1.35270	1.35837	88263	0	0
2022.02.17	1.35831	1.36378	1.35554	1.36155	114888	0	0
2022.02.18	1.36132	1.36428	1.35733	1.35923	90542	0	0
2022.02.21	1.35784	1.36386	1.35784	1.36005	82820	0	0
2022.02.22	1.35982	1.36044	1.35382	1.35853	105989	0	0
2022.02.23	1.35826	1.36204	1.35360	1.35428	92395	0	0
2022.02.24	1.35402	1.35488	1.32731	1.33764	182335	0	0
2022.02.25	1.33754	1.34387	1.33666	1.34096	118744	0	0
