<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	1.34777	1.35398	1.34732	1.35295	12379	0	2
2022.01.04	1.35342	1.35824	1.35263	1.35423	14751	0	4
2022.01.05	1.35428	1.35780	1.35337	1.35721	13122	0	4
2022.01.06	1.35702	1.36140	1.35635	1.36049	13444	0	4
2022.01.07	1.35967	1.36121	1.35443	1.35478	15728	0	6
2022.01.10	1.35458	1.35789	1.35400	1.35579	15597	0	2
2022.01.11	1.35584	1.35601	1.34952	1.35018	15876	0	6
2022.01.12	1.35018	1.35150	1.34532	1.34552	14494	0	3
2022.01.13	1.34552	1.34674	1.34416	1.34438	16964	0	3
2022.01.14	1.34622	1.34902	1.34309	1.34807	17739	0	5
2022.01.17	1.34623	1.34963	1.34623	1.34821	13379	0	3
2022.01.18	1.34796	1.35179	1.34591	1.34958	19467	0	5
2022.01.19	1.34921	1.35143	1.34651	1.34738	14567	0	2
2022.01.20	1.34727	1.34781	1.34334	1.34651	15580	0	2
2022.01.21	1.34643	1.34780	1.34356	1.34494	16299	0	7
2022.01.24	1.34386	1.34779	1.34294	1.34545	20062	0	1
2022.01.25	1.34532	1.34583	1.34233	1.34357	12931	0	5
2022.01.26	1.34371	1.34859	1.34318	1.34595	14310	0	7
2022.01.27	1.34642	1.35353	1.34558	1.35259	19697	0	5
2022.01.28	1.35261	1.35792	1.35183	1.35510	21709	0	1
2022.01.31	1.35565	1.35640	1.35020	1.35102	17959	0	6
2022.02.01	1.35108	1.35293	1.34749	1.34808	17661	0	9
2022.02.02	1.34841	1.34953	1.34615	1.34690	15044	0	8
2022.02.03	1.34690	1.34920	1.34278	1.34366	18759	0	3
2022.02.04	1.34364	1.34763	1.34210	1.34533	21467	0	7
2022.02.07	1.34492	1.34640	1.34254	1.34323	16780	0	3
2022.02.08	1.34336	1.34562	1.34225	1.34477	16198	0	5
2022.02.09	1.34482	1.34520	1.34063	1.34135	11692	0	3
2022.02.10	1.34141	1.34596	1.34062	1.34400	18550	0	5
2022.02.11	1.34408	1.34776	1.34292	1.34633	21224	0	3
2022.02.14	1.34634	1.34836	1.34569	1.34654	21112	0	4
2022.02.15	1.34653	1.34759	1.34382	1.34461	17559	0	3
2022.02.16	1.34490	1.34595	1.34208	1.34355	17777	0	6
2022.02.17	1.34337	1.34553	1.34208	1.34307	25951	0	7
2022.02.18	1.34308	1.34635	1.34183	1.34550	20624	0	4
2022.02.21	1.34556	1.34740	1.34360	1.34575	18833	0	5
2022.02.22	1.34544	1.34864	1.34423	1.34451	23103	0	3
2022.02.23	1.34458	1.34644	1.34313	1.34602	17384	0	6
2022.02.24	1.34598	1.36053	1.34470	1.35513	32991	0	2
2022.02.25	1.35503	1.35581	1.35107	1.35301	29713	0	5
2022.02.28	1.35834	1.36007	1.35346	1.35471	28603	0	4
2022.03.01	1.35470	1.35851	1.35270	1.35729	20935	0	4
2022.03.02	1.35710	1.35960	1.35373	1.35431	22876	0	7
2022.03.03	1.35440	1.35912	1.35307	1.35662	18590	0	3
2022.03.04	1.35663	1.36250	1.35517	1.35990	24240	0	4
2022.03.07	1.35992	1.36464	1.35922	1.36131	27596	0	6
2022.03.08	1.36034	1.36658	1.36034	1.36534	27358	0	5
2022.03.09	1.36519	1.36596	1.35624	1.35803	23113	0	8
2022.03.10	1.35787	1.36042	1.35649	1.35924	21988	0	1
2022.03.11	1.35911	1.36388	1.35777	1.36198	20359	0	4
2022.03.14	1.35920	1.36722	1.35856	1.36591	18484	0	4
2022.03.15	1.36595	1.36859	1.36341	1.36526	19456	0	3
2022.03.16	1.36527	1.36672	1.35768	1.35848	21145	0	6
2022.03.17	1.35848	1.35918	1.35255	1.35337	16752	0	7
2022.03.18	1.35337	1.35838	1.35254	1.35501	15618	0	6
2022.03.21	1.35503	1.35806	1.35471	1.35699	14089	0	3
2022.03.22	1.35699	1.35997	1.35498	1.35630	15263	0	6
2022.03.23	1.35630	1.35839	1.35562	1.35748	14115	0	6
2022.03.24	1.35743	1.35871	1.35648	1.35712	12771	0	5
2022.03.25	1.35712	1.35812	1.35575	1.35774	13724	0	3
2022.03.28	1.35754	1.36152	1.35693	1.36094	16535	0	2
2022.03.29	1.36092	1.36195	1.35504	1.35604	18962	0	6
2022.03.30	1.35625	1.35648	1.35149	1.35229	17482	0	7
2022.03.31	1.35231	1.35548	1.35124	1.35459	17100	0	6
2022.04.01	1.35454	1.35733	1.35334	1.35653	15463	0	7
2022.04.04	1.35658	1.35759	1.35560	1.35642	11049	0	5
2022.04.05	1.35633	1.35963	1.35489	1.35914	12828	0	2
2022.04.06	1.35912	1.36137	1.35776	1.35968	17115	0	4
2022.04.07	1.35952	1.36163	1.35860	1.36122	14660	0	5
2022.04.08	1.36123	1.36466	1.36032	1.36300	13718	0	5
2022.04.11	1.36194	1.36715	1.36133	1.36498	14982	0	6
2022.04.12	1.36441	1.36623	1.36162	1.36385	15642	0	5
2022.04.13	1.36379	1.36507	1.36162	1.36230	13617	0	6
2022.04.14	1.36231	1.36250	1.35088	1.35597	20884	0	2
2022.04.15	1.35598	1.35941	1.35501	1.35648	9472	0	5
2022.04.18	1.35565	1.36262	1.35544	1.36112	12442	0	8
2022.04.19	1.36168	1.36847	1.35956	1.36746	18192	0	5
2022.04.20	1.36749	1.36969	1.36204	1.36281	18806	0	2
2022.04.21	1.36266	1.36570	1.35987	1.36316	19696	0	7
2022.04.22	1.36269	1.37179	1.36200	1.37103	21707	0	7
2022.04.25	1.36778	1.37816	1.36232	1.37392	23911	0	2
2022.04.26	1.37393	1.37940	1.37007	1.37892	20374	0	7
2022.04.27	1.37872	1.38193	1.37638	1.38085	22655	0	7
2022.04.28	1.38075	1.39037	1.37988	1.38656	25744	0	7
2022.04.29	1.38651	1.38738	1.37818	1.38282	24475	0	6
2022.05.02	1.37971	1.38806	1.37949	1.38509	18795	0	7
2022.05.03	1.38432	1.38655	1.38212	1.38388	20602	0	11
2022.05.04	1.38384	1.38520	1.37261	1.37396	22075	0	6
2022.05.05	1.37349	1.38756	1.37294	1.38225	26676	0	9
2022.05.06	1.38161	1.39037	1.38161	1.38586	30662	0	10
2022.05.09	1.38233	1.39346	1.38227	1.38995	27080	0	10
2022.05.10	1.39022	1.39260	1.38736	1.39073	26827	0	9
2022.05.11	1.39065	1.39168	1.38325	1.38986	29178	0	5
2022.05.12	1.38992	1.39840	1.38835	1.39684	31153	0	4
2022.05.13	1.39508	1.39776	1.39206	1.39252	29810	0	1
2022.05.16	1.39171	1.39665	1.39066	1.39129	26330	0	14
2022.05.17	1.39129	1.39186	1.38311	1.38463	26559	0	7
2022.05.18	1.38421	1.39204	1.38343	1.39101	22698	0	9
2022.05.19	1.39137	1.39165	1.37850	1.38093	31738	0	9
2022.05.20	1.38092	1.38318	1.37672	1.37916	25690	0	7
2022.05.23	1.37847	1.38010	1.37215	1.37250	24262	0	7
2022.05.24	1.37287	1.37659	1.37090	1.37103	24965	0	8
2022.05.25	1.37314	1.37784	1.37046	1.37502	25930	0	7
2022.05.26	1.37509	1.37735	1.37239	1.37263	22400	0	6
2022.05.27	1.37247	1.37354	1.36783	1.36810	19803	0	3
2022.05.30	1.36795	1.37006	1.36528	1.36588	17295	0	5
2022.05.31	1.36587	1.37276	1.36585	1.37008	24853	0	5
2022.06.01	1.36999	1.37582	1.36886	1.37449	23010	0	5
2022.06.02	1.37411	1.37751	1.36978	1.37029	21197	0	4
2022.06.03	1.36988	1.37641	1.36844	1.37591	20940	0	1
