<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.06	1.37215	1.37676	1.37120	1.37640	17876	0	3
2022.06.07	1.37639	1.37982	1.37293	1.37356	21300	0	4
2022.06.08	1.37338	1.37665	1.37314	1.37594	22248	0	8
2022.06.09	1.37584	1.38356	1.37421	1.38308	25238	0	5
2022.06.10	1.38267	1.38811	1.37957	1.38733	28676	0	1
2022.06.13	1.38770	1.39549	1.38475	1.39473	34004	0	7
2022.06.14	1.39464	1.39564	1.38902	1.39315	33538	0	4
2022.06.15	1.39314	1.39401	1.38529	1.38599	35092	0	7
2022.06.16	1.38609	1.39204	1.38191	1.38314	36888	0	3
2022.06.17	1.38297	1.39102	1.38250	1.39069	30428	0	4
2022.06.20	1.38791	1.39017	1.38532	1.38861	22137	0	6
2022.06.21	1.38846	1.38861	1.38399	1.38574	22739	0	3
2022.06.22	1.38566	1.39030	1.38453	1.38655	28427	0	5
2022.06.23	1.38631	1.39159	1.38601	1.39002	31723	0	7
2022.06.24	1.39002	1.39109	1.38533	1.38602	27114	0	8
2022.06.27	1.38556	1.38757	1.38359	1.38575	24746	0	5
2022.06.28	1.38560	1.38788	1.38402	1.38765	26490	0	6
2022.06.29	1.38760	1.39371	1.38706	1.39349	25527	0	5
2022.06.30	1.39302	1.39428	1.38862	1.38909	27641	0	4
2022.07.01	1.38911	1.39957	1.38881	1.39571	29309	0	3
2022.07.04	1.39520	1.39770	1.39444	1.39472	19342	0	5
2022.07.05	1.39443	1.40715	1.39443	1.40538	31233	0	3
2022.07.06	1.40496	1.40653	1.40058	1.40463	32410	0	7
2022.07.07	1.40455	1.40545	1.39940	1.40043	27771	0	6
2022.07.08	1.39988	1.40482	1.39681	1.39736	28785	0	4
2022.07.11	1.39700	1.40606	1.39700	1.40581	26350	0	7
2022.07.12	1.40567	1.40794	1.40198	1.40711	26791	0	5
2022.07.13	1.40710	1.40949	1.40280	1.40458	40868	0	5
2022.07.14	1.40458	1.40951	1.39315	1.40309	37119	0	1
2022.07.15	1.40284	1.40543	1.39802	1.39837	30309	0	4
2022.07.18	1.39943	1.39983	1.39414	1.39722	27414	0	3
2022.07.19	1.39715	1.39870	1.39014	1.39203	28907	0	8
